vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
Вятич;040046;9332664;;UBAG9;Санкт-Петербург  ;;KM(*) Arc4 R2 AUT1 tug;;;;;602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16609, 16609/2;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2004-02-17;;2004-11-29;;;РМРС;;273434680; Эксплуатируется ;;;;;;;;;;Fleetphoto
Палойл-5;040099;8646317;;;Таганрог  ;;K (*) R3-RSN oil carrier (ESP);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;004ROB05, тип Палойл;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;2004-03-10;2004-05-29;2004-06-02;;;РМРС;;; Не эксплуатируется с 2018 года ;;;;;;;;;;Fleetphoto
Астана;040101;9323091;;UNJL;Актау  ;;KM(*) Ice1 [1] R1 AUT1 OMBO IGS-IG oil tanker (ESP);;;;;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00210;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2004-04-15;;2005-02-28;;;РМРС;;436000393; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санар-1;040116;9332389;;UEQK;Таганрог  ;;KM(*) Ice1[1] R2 AUT3 oil/chemical tanker type 2(ESP);;;;;341;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17103;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;2004-04-23;;2005-01-15;;;РМРС;;273438670; Эксплуатируется ;;;;;;;;;;Fleetphoto
Олимп;040173;9353826;;UEZX;Находка  ;;;;;;;509917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Damen Stan Tug 2207;;;;;;;;;;;;;;;;;;;;;;;ЗАО «Квантум»; Находка;;;;;2005-11-23;;;РМРС;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Аскольд;040188;9344875;;UCSZ;Санкт-Петербург  ;;KM(*) Arc5 R2 AUT1 FF3WS tug;;;;;111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21110;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2004-04-09;;2005-03-23;;;РМРС;;273310710; Эксплуатируется ;;;;;;;;;;Fleetphoto
Алматы;040192;9323106;;UOF;Актау  ;;KM(*) Ice1[1] R1 AUT1 OMBO oil tanker(ESP);;;;;211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00210;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2004-04-28;;2005-06-27;;;РМРС;;436000032; Эксплуатируется ;;;;;;;;;;Fleetphoto
Фаворит;040212;9344590;;UHDF;Махачкала  ;;KM(*) Ice3 R3 AUT3 tug;;;;;905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2004-05-14;;2004-12-17;;;РМРС;;273319410; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-5;040224;9353046;;UBHY;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2004-07-01;2005-05-14;2005-08-10;;;РМРС;;273317430; Эксплуатируется ;;;;;;;;;;Fleetphoto
Shah Ismayil Khatai;040243;9284116;;4JMW;Баку  ;;KM(*) Ice1[1] R1 AUT1 oil tanker(ESP);;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19619, тип President Heydar Aliyev;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2004-06-18;;2005-10-16;;;РМРС;;423205100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санар-9;040258;9300350;;UGGU;Таганрог  ;;KM(*) Ice1 R2-RSN(4,5) AUT3 oil tanker(ESP);;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2004-10-15;2005-01-29;2005-05-16;;;РМРС;;273433680; Эксплуатируется ;;;;;;;;;;Fleetphoto
Gafur Mammadov;040281;9340855;;4JRN;Баку  ;;КМ(*)ЛУ2[1] II А3;;;;;003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005RSD03, тип Россиянин;;;;;;;;;;;;;;;;;;;;;;;ООО «Онежский судостроительный завод»; Петрозаводск;;;2004-11-10;2005-06-24;2005-10-20;;;РМРС;;423039100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Atlas-1;040313;2948751;;J8B3201;Кингстаун  ;;KM(*) R2 crane vessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16942;;;;;;;;;;;;;;;;;;;;;;;ОАО «Севморзавод»; Севастополь;;;;;2005-03-30;;;РМРС;;377007000; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санар-2;040328;9328663;;UEZV;Таганрог  ;;KM(*) Ice1[1] R2 AUT3 oil/chemical tanker type 2(E;;;;;342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17103;;;;;;;;;;;;;;;;;;;;;;;ОАО «Волгоградский судоремонтно-судостроительный завод»; Волгоград;;;2004-12-10;;2005-07-27;;;РМРС;;273433590; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санар-12;040351;9340879;;UHHR;Таганрог  ;;KM(*) Ice1 R2-RSN(4,5) AUT3 oil tanker(ESP);;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2004-11-11;2005-04-07;2005-06-01;;;РМРС;;273431390; Эксплуатируется ;;;;;;;;;;Fleetphoto
Санар-11;040366;9340881;;UGVJ;Таганрог  ;;KM(*) Ice1 R2-RSN(4,5) AUT3 oil tanker(ESP);;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2004-12-23;2005-04-09;2005-06-30;;;РМРС;;273433790; Эксплуатируется ;;;;;;;;;;Fleetphoto
Shair Sabir;040370;9348326;;4JRK;Баку  ;;KM(*) Ice2[1] R2 AUT3;;;;;004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005RSD03, тип Россиянин;;;;;;;;;;;;;;;;;;;;;;;ООО «Онежский судостроительный завод»; Петрозаводск;;;2004-12-20;2005-10-31;2006-05-26;;;РМРС;;423059100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-6;040402;9345714;;UBJI7;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2004-12-10;;2005-12-12;;;РМРС;;273357260; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-7;040421;9346550;;UBUI;Санкт-Петербург  ;;KM(*) Ice2 R1 AUT1;;;;;2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2004-12-27;;2006-06-30;;;РМРС;;273310950; Эксплуатируется ;;;;;;;;;;Fleetphoto
Казахстан;040465;9323118;;UOH;Актау  ;;KM(*) Ice1[1] R1 AUT1 OMBO oil tanker(ESP);;;;;212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00230;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2004-08-12;;2005-10-07;;;РМРС;;436000034; Эксплуатируется ;;;;;;;;;;Fleetphoto
Abai;040474;9334600;;UNAS;Актау  ;;KM(*) Ice1[1] R1 AUT1 OMBO oil tanker(ESP);;;;;213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00230;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2004-12-14;;2005-12-21;;;РМРС;;436000074; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-8;040489;9368209;;UBKI3;Санкт-Петербург  ;;KM(*) Ice2[1] R1 AUT1;;;;;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;Зеленодольский ССЗ им. А.М. Горького; Зеленодольск;;;2004-12-29;;2007-02-19;;;РМРС;;273351360; Эксплуатируется ;;;;;;;;;;Fleetphoto
Ашанти;040493;9319636;;UBNW6;Санкт-Петербург  ;;;;;;;(509807);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ФГУП «Машиностроительное предприятие «Звёздочка»»; Северодвинск;ФГУП «Машиностроительное предприятие «Звёздочка»»; Северодвинск;2004-01-15;2004-09-22;2005-02-25;;;РМРС;;273294470; Эксплуатируется ;;;;;;;;;;Fleetphoto
Скиф;040531;9365271;;UADB;Санкт-Петербург  ;;KM(*) Arc4 R2 AUT1 FF3WS tug;;;;;603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16609, 16609/2;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2004-09-21;;2005-10-18;;;РМРС;;273319230; Эксплуатируется ;;;;;;;;;;Fleetphoto
Деметра;040578;;;;Таганрог  ;;KE(*) R3 RSN Oil Tanker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2731, 2731.2, 2731.2у, 2731.2ум, 2731.3, 2731.4, 27310, 27311;;;;;;;;;;;;;;;;;;;;;;;ОАО «Костромской судостроительно-судоремонтный завод»; Кострома;;;;;2005-08-12;;;РМРС;;; Эксплуатируется ;Первоначально проект 2731, в 2006 году на Городецком СРЗ модернизирована по проекту 2731.3.;;;;;;;;;Fleetphoto
Тк Актау;040582;9344459;;UPJ;Актау  ;;KM(*) Ice1[1] R1 AUT1 OMBO oil tanker(ESP);;;;;215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00230;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;2004-11-30;;2006-08-22;;;РМРС;;436000062; Эксплуатируется ;"Сперва судно называлось ""Актау"", но так-как на тот момент было ещё два судна под таким названием(рыболовецкое и военное), владелец решил добавить в начале две буквы ""ТК"" (танкер), во избежание путаницы.";;;;;;;;;Fleetphoto
Shair Vagif;040614;9370721;;4JRL;Баку  ;;КМ(*)ЛУ2[1] II А3;;;;;005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005RSD03, тип Россиянин;;;;;;;;;;;;;;;;;;;;;;;ООО «Онежский судостроительный завод»; Петрозаводск;;;2004-12-23;2006-05-11;2006-07-03;;;РМРС;;423066100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Karelis-71;040629;9383883;;V4TS3;Чарлстаун  ;;"КМ  Ice2 (hull; machinery) R2-RSN(4.5) АUT3 BWM(T)";;;;;006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;005RSD03, тип Россиянин;;;;;;;;;;;;;;;;;;;;;;;ООО «Онежский судостроительный завод»; Петрозаводск;;;2004-12-29;2006-08-11;2006-10-26;;;РМРС;;341650000; Эксплуатируется ;Удлинён летом 2021 года в Турции по проекту RSD03L на 32,5 м;;;;;;;;;Fleetphoto
Артемида;040915;;;;Таганрог  ;;KE(*) R3 RSN Oil Tanker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2731, 2731.2, 2731.2у, 2731.2ум, 2731.3, 2731.4, 27310, 27311;;;;;;;;;;;;;;;;;;;;;;;ОАО «Костромской судостроительно-судоремонтный завод»; Кострома;;;2003-02-18;;2004-07-04;;;РМРС;;; Эксплуатируется ;Проект 2731.2.;;;;;;;;;Fleetphoto
Ata Beket;050048;9334612;;J8B3578;Кингстаун  ;;KM(*) Ice1[1] R1 AUT1 OMBO oil tanker(ESP);;;;;214;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00230;;;;;;;;;;;;;;;;;;;;;;;Выборгский судостроительный завод; Выборг;;;;;2007-03-20;;;РМРС;;376516000; Эксплуатируется ;;;;;;;;;;Fleetphoto
Koroglu;050103;9347231;;4JNC;Баку  ;;KM(*) Ice1[1] R1 AUT1 oil tanker(ESP);;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19619, тип President Heydar Aliyev;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2005-04-22;;2006-08-10;;;РМРС;;423242100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Dede Gorgud;050118;9347243;;4JND;Баку  ;;KM(*) Ice1[1] R1 AUT1 oil tanker(ESP);;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19619, тип President Heydar Aliyev;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2005-04-22;;2006-10-08;;;РМРС;;423207100; Эксплуатируется ;;;;;;;;;;Fleetphoto
Петергоф;050122;9368651;;UHCH;Санкт-Петербург  ;;KM(*) Arc4 R3 AUT3 tug;;;;;906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2005-02-25;;2005-08-26;;;РМРС;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Электра;050137;9376608;;UAZB;Таганрог  ;;KM(*) Ice1 R2-RSN(4,5) AUT3 oil tanker(ESP);;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2005-07-06;2005-12-14;2006-07-16;;;РМРС;;273315050; Эксплуатируется ;;;;;;;;;;Fleetphoto
Морвенна-3607;050141;;;;Новороссийск  ;;"K(*) [1] R2-RSN (d &amp;lt;= 2,868 m) RN(SCI) (d &amp;lt;= 3,407 m) RN(SCII) (d &amp;lt;= 3,553 m)";;;;;901;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03060;;;;;;;;;;;;;;;;;;;;;;;Зеленодольский ССЗ им. А.М. Горького; Зеленодольск;;;2005-07-12;;2005-11-24;;;РМРС;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-10;050156;9368247;;UBJI9;Санкт-Петербург  ;;KM(*) Ice2 R1 AUT1;;;;;2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2005-06-20;;2006-12-07;;;РМРС;;273359260; Эксплуатируется ;;;;;;;;;;Fleetphoto
Ураганный;050160;9397028;;UHKL;Находка  ;;KM ⍟ Ice2 R1 fishing vessel;;;;;01541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"ФГУП ""Дальневосточный завод ""Звезда"""; Большой Камень;;;;;2006-09-20;;;РМРС;НД-0247;273313050; Эксплуатируется ;;;;;;;;;;Fleetphoto
Павловск;050185;9378670;;UHOX;Санкт-Петербург  ;;KM(*) Arc4 R3 AUT3 FF3WS tug;;;;;907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2005-02-25;;2005-10-07;;;РМРС;РМ-30-3509;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Сестрорецк;050194;9375563;;;Санкт-Петербург  ;;KM(*) Arc4 R3 AUT3 FF3WS tug;;;;;908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90600;;;;;;;;;;;;;;;;;;;;;;;"АО «Ленинградский ССЗ ""Пелла""»"; Отрадное;;;2005-04-05;;2005-11-11;;;РМРС;РМ-30-3513;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Климена;050207;9376593;;UBAG;Таганрог  ;;KM(*) Ice1 R2-RSN(4,5) AUT3 oil tanker (ESP);;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19614, тип Нижний Новгород;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2005-08-10;2006-02-06;2006-07-16;;;РМРС;;273314050; Эксплуатируется ;;;;;;;;;;Fleetphoto
Москва;050211;9326574;;UBVE4;Владивосток  ;;KM(*) Icebreaker6 [2] AUT1 FF1 EPP;;;;;05601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21900, тип Москва;;;;;;;;;;;;;;;;;;;;;;;ОАО «Балтийский завод»; Санкт-Петербург;;;2005-05-19;2007-05-25;2008-12-11;;;РМРС;;273341120; Эксплуатируется ;;;;;;;;;;Fleetphoto
Морвенна-3608;050226;;;;Новороссийск  ;;K(*) [1] R2-RSN (d <= 2,868 m) RN(SCI) (d <= 3,407 m) RN(SCII) (d <= 3,553 m);;;;;902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03060;;;;;;;;;;;;;;;;;;;;;;;Зеленодольский ССЗ им. А.М. Горького; Зеленодольск;;;;;2005-11-24;;;РМРС;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Вагис;050230;9376476;;UFXZ;Находка  ;;КМ(*) ЛУ5 II А2 буксир;;;;;380;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1710 (буксир);;;;;;;;;;;;;;;;;;;;;;;ПАО «Амурский судостроительный завод»; Комсомольск-на-Амуре;;;;;2007-11-27;;;РМРС;;273310540; Эксплуатируется ;;;;;;;;;;Fleetphoto
Морвенна-3609;050245;;;;Новороссийск  ;;"K(*) [1] R2-RSN (d &lt;= 2,868 m) RN(SCI) (d &lt;= 3,407 m) RN(SCII) (d &lt;= 3,553 m)";;;;;903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03060;;;;;;;;;;;;;;;;;;;;;;;Зеленодольский ССЗ им. А.М. Горького; Зеленодольск;;;2005-11-08;;2006-05-03;;;РМРС;;; Эксплуатируется ;;;;;;;;;;Fleetphoto
Русич-11;050251;9368259;;UCLM;Санкт-Петербург  ;;КМ(*) ЛУ2[1] I А1;;;;;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;00101, тип Русич;;;;;;;;;;;;;;;;;;;;;;;ОАО «Окская Судоверфь»; Навашино;;;2005-10-25;;2007-08-30;;;РМРС;;273354040; Эксплуатируется ;;;;;;;;;;Fleetphoto
Nasimi;050264;9397676;;4JQB;Баку  ;;KM(*) Ice1[1] R1 AUT1 oil tanker(ESP);;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19619, тип President Heydar Aliyev;;;;;;;;;;;;;;;;;;;;;;;ПАО «Завод «Красное Сормово»»; Нижний Новгород;;;2005-12-02;;2006-11-01;;;РМРС;;423046100; Эксплуатируется ;;;;;;;;;;Fleetphoto
